,subcategory,prompt,stimulus,choices,correct_choice,explanation
57,Basic Arithmetic Word Problems,15 is 30% of what number?,,"{'A': '35', 'B': '40', 'C': '45', 'D': '50', 'E': '55'}",D,"D: We can setup an equation to quickly solve this: 15 = 0.3x x = \frac{15}{0.3} To make the division easier without a calculator, multiply the numerator and the denominator by 10: x = \frac{15\times10}{0.3\times10}=\frac{150}{3} x = 50"
58,Basic Arithmetic Word Problems,"The total sales in October was $1,900, for November it was $500 less than October, and for December it was $1,200 more than October. The average monthly sales was _____ for these 3 months?",,"{'A': '$2,050', 'B': '$2,100.33', 'C': '$2,133.33', 'D': '$2,450', 'E': '$2,529.33'}",C,"C: We need to find the average for all 3 months. 1900 + (1900-500) + (1900+1200) = 6400. Take 6400 / 3 and get $2,133.33."
59,Basic Arithmetic Word Problems,"In an over-booked Champaign-Chicago flight, the plane has 140 seats, and the number of confirmed passengers was 110% of the plane capacity. How many passengers are to be transferred to other flights?",,"{'A': '10 passengers', 'B': '11 passengers', 'C': '12 passengers', 'D': '13 passengers', 'E': '14 passengers'}",E,E: The percentage of excess passengers = 110% – 100% = 10%. The number of excess passengers = (10%) * 140 = (10/100) * 140 = 14 passenger. The correct answer is option (E).
60,Basic Arithmetic Word Problems,"Two battery companies sold a total of 700 batteries last month. Company A sold 6 times as many batteries as Company B. Therefore, Company B sold _____ batteries.",,"{'A': '50', 'B': '75', 'C': '80', 'D': '100', 'E': '120'}",D,"D: We can quickly set up an equation to solve this. 6x + x = 700. 7x = 700. Divide both sides by 7 and get x = 100. If we have extra time, we can plug in the numbers to the equation to check -> 6(100) + 100 = 700."
61,Basic Arithmetic Word Problems,"The cost of 9 Oreo packages is $26. At this rate, it would cost ____ to buy 18 boxes.",,"{'A': '45', 'B': '49', 'C': '52', 'D': '54', 'E': '56'}",C,"C: The quickest way to solve this problem is to realize 18 is exactly double 9. So we can double 26 (26*2) which is $52.We could also set up a proportion where 9/26 = 18/x. We would then cross multiply and arrive at the same answer. Options (D) and (E) might be readily dismissed (even before any computations), since the South American share of tournaments won should be less than half the total (and definitely less than the total)."
62,Basic Arithmetic Word Problems,The number of countries applying for a loan from the World Monetary Fund (WMF) during a particular interval of time is 78. Out of these only 26 were ultimately granted the required loans. This is an acceptance rate of _____.,,"{'A': '1 in 10', 'B': '1 in 3', 'C': '1 in 50', 'D': '1 in 2022', 'E': 'None of the above'}",B,B: The acceptance rate = 26 country / 78 country = 1/ 3. The correct answer is option (B).
63,Basic Arithmetic Word Problems,"A cell can replicate itself 3,800 times every 30 seconds. At this rate, it would take ______ seconds to replicate itself 13,500 times.",,"{'A': '106.6', 'B': '108.6', 'C': '109.8', 'D': '111.8', 'E': '112'}",A,"A: We can set up a proportion to solve this question. 3800/30 = 13500/x. We cross-multiply to get 3800x = 405,000. We divide both sides by 3800 to get 106.6 seconds."
64,Basic Arithmetic Word Problems,"An American tourist arrived in Munich, Germany with cash money of $5000. She exchanged her US currency for European currency at the official rate of $1 = EUR 0.87, where EUR depicts a European Euro. She now possesses _____ Euros.",,"{'A': 'EUR 2175', 'B': 'EUR 4350', 'C': 'EUR 4860', 'D': 'EUR 4890', 'E': 'EUR 146,700'}",B,B: The amount of money = 5000 dollar = 5000 * ($ 1) = 5000 * (EUR 0.87) = EUR 4350. Option (B) is the correct answer.
65,Basic Arithmetic Word Problems,A drawer has 45 pens in it. There are 2 times as many red pens as there are blue pens. The drawer has ______ red pens in it.,,"{'A': '15', 'B': '20', 'C': '30', 'D': '35', 'E': '40'}",C,"C: We can set up an equation to solve this. x + 2x = 45 3x = 45 x = 15 The question asks for the number of red pens, which is (15*2) = 30."
66,Basic Arithmetic Word Problems,"A train sold 50 tickets for a route with 250 seats, meaning they sold tickets for _______ of their seats.",,"{'A': '15%', 'B': '20%', 'C': '25%', 'D': '30%', 'E': '33%'}",B,B: We can quickly divide 50 by 250 to get our answer of 20%. We can also make a fraction and simplify ---> 50/250 which = 1/5 when simplified.
67,Basic Arithmetic Word Problems,A bookstore sells 80 novels per day for 20 days in a month. It also sells 40 textbooks per day for the remaining 10 days of the month. What is the total number of books sold by the bookstore in one month?,,"{'A': '1600 books/month', 'B': '2000 books/month', 'C': '2800 books/month', 'D': '3200 books/month', 'E': '4000 books/month'}",B,"B: To find the total number of books sold in a month, we multiply the number of novels sold per day by the number of days they are sold (80 * 20 = 1600) and the number of textbooks sold per day by the number of days they are sold (40 * 10 = 400). Then we add these together to get 2000 books sold in a month."
68,Basic Arithmetic Word Problems,John needs to build a fence around his rectangular garden. The garden is 10 meters long and 5 meters wide. What is the total length of the fence John needs to buy?,,"{'A': '15 meters', 'B': '20 meters', 'C': '25 meters', 'D': '30 meters', 'E': '40 meters'}",D,D: The perimeter of a rectangle is calculated as 2 * (length + width). In this case: Perimeter = 2 * (10 + 5) = 2 × 15 = 30 meters
69,Number Series,"What is the next number in the following series? 0, 1, 4, 9, 16, 25, 36, 49, 64, 81, ….",,"{'A': '100', 'B': '121', 'C': '144', 'D': '169', 'E': '196'}",A,"A: The answer is option (A). This is a series of successive perfect squares. The next perfect square is 100. A perfect square is a number that can be expressed as the square of a number from the same number system. 100 is 10 2 . The pattern is 1 2 , 2 2 , 3 2 , 4 2 , etc….."
70,Letter Series,What would be the next group of letters in the following series? uxr … vxt … wxv … xxx … ?,,"{'A': 'yzv', 'B': 'zyv', 'C': 'zvw', 'D': 'wzw', 'E': 'yxz'}",E,"E: The first letters (u, v, w, x) follow a pattern of +1. The second letters (x, x, x, x) remains constant. The third letters (r, t, v, x) follow a pattern of +2. Following this pattern gives us y, x, z"
71,Logic Statements,"If the first two statements are true, is the final statement true? All native Americans have brown hair. Adam is a native American. Adam has brown hair.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",A,"A: The three statements constitute a valid syllogism. The third sentence is a valid consequent of the two premises proposed by the first two sentences. Therefore, the answer is (A)."
72,Logic Statements,"If the first two statements are true, is the final statement true? The boy only ate pizza with pepperoni on it. The same boy was eating pizza. The pizza had pepperoni on it.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",A,"A: The final statement is true. This is true because the first statement using the word “only.” We can now assume that the boy was eating pizza because it had pepperoni on it, which makes the final statement true."
73,Logic Statements,"If the first two statements are true, is the final statement true? All children love to play soccer. Adam (is a person who) hates to play soccer. Adam is a child.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The premise that ‘all children love to play soccer’ rules out the possibility for a child to hate to play soccer. Therefore, the answer is (B)."
74,Ordering and Arrangement Logic,"Sophie, Tom, Uma, Victor, and Wendy are seated in a row. Sophie is sitting to the left of Tom. Victor is sitting immediately to the left of Uma. Wendy is seated last in line. If Tom is seated second in line, which of the following can be true about Uma's position?",,"{'A': 'Uma is first', 'B': 'Uma is second', 'C': 'Uma is third', 'D': 'Uma is fourth', 'E': 'Uma is last'}",D,D: The quickest way to solve this type of question is by quickly mapping out what we know and going from there: Chair 1: Sophie – We are told Sophie is seated to the left of Tom. This is the only option for her. Chair 2: Tom – We are told Tom is seated second in line. Chair 3: Victor – We are told Victor is seated immediately to the left of Uma. Chair 4: Uma – This is the only place Uma can be seated. Chair 5: Wendy – We are told Wendy is seated last in line.
75,Analogies,HAMMER is to BUILD as ...,,"{'A': 'PENCIL is to PAPER', 'B': 'RECIPE is to COOK', 'C': 'ENGINE is to PISTON', 'D': 'SHOVEL is to DIG', 'E': 'TARGET is to AIM'}",D,"D: This tests the relationship of “tool to primary function.” A HAMMER's primary function is to BUILD, just as a SHOVEL's primary function is to DIG. The other options don't show this tool-to-function relationship: A shows a tool to material, B shows instructions to action, C shows part-to-whole, E shows objective to action."
76,Analogies,MONDAY is to WEEKDAY as ...,,"{'A': 'MORNING is to EVENING', 'B': 'ROSE is to FLOWER', 'C': 'RIVER is to STREAM', 'D': 'STUDENT is to TEACHER', 'E': 'DOG is to WOLF'}",B,"B: This tests “specific example to category.” MONDAY is a specific type of WEEKDAY, just as a ROSE is a specific type of FLOWER. The other options show different relationships: A shows opposites, C shows size comparison, D shows different roles, E shows species relationships."
77,Analogies,CLOSET is to CLOTHES as ...,,"{'A': 'RAIN is to STORM', 'B': 'TELESCOPE is to LENS', 'C': 'HORSE is to STABLE', 'D': 'GARAGE is to CARS', 'E': 'CHAPTER is to NOVEL'}",D,"D: This tests “container/storage place to what it typically holds.” A CLOSET stores CLOTHES, just as a GARAGE stores CARS. The other options don't show this storage relationship: A shows sequential weather events, B shows instrument to component, C shows animal to shelter (reversed), E shows part to whole."
78,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The detective's keen _________ allowed her to notice subtle details that others missed, ultimately leading to the breakthrough in the case.",,"{'A': 'lethargy', 'B': 'acumen', 'C': 'apathy', 'D': 'mediocrity', 'E': 'negligence'}",B,"B: The context clues “keen,” “notice subtle details,” and “breakthrough in the case” indicate the detective has sharp mental ability or insight. “Acumen” means keenness of mind or shrewdness, which fits perfectly. The other options are negative qualities: lethargy (sluggishness), apathy (lack of interest), mediocrity (ordinariness), negligence (carelessness)."
79,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The politician presented his controversial proposal under the _________ of public safety, but critics argued that his true intention was to _________ civil liberties.",,"{'A': 'banner ... protect', 'B': 'pretense ... restrict', 'C': 'shadow ... enhance', 'D': 'umbrella ... restore', 'E': 'cloak ... expand'}",B,"B: The sentence structure indicates contrast (“but critics argued”), showing the politician's stated reason versus his true intention. “Pretense” means false appearance or claim, and “restrict” fits with the idea that critics believe he actually wants to limit civil liberties rather than protect public safety."
80,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Seemingly _________ by social expectations, the artist chose to display her provocative sculptures in the conservative gallery without any warning labels.",,"{'A': 'intimidated', 'B': 'undeterred', 'C': 'overwhelmed', 'D': 'cautioned', 'E': 'influenced'}",B,"B: The context shows the artist displayed provocative work in a conservative setting “without any warning labels,” indicating she was not stopped or discouraged by social expectations. “Undeterred” means not discouraged or prevented by difficulty."
81,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Due to the research team's decision to conduct the study in phases, it was challenging to _________ the drug's impact, and the _________ of the treatment became apparent only after several months of observation.",,"{'A': 'predict ... benefits', 'B': 'assess ... drawbacks', 'C': 'ignore ... effects', 'D': 'amplify ... consequences', 'E': 'dismiss ... outcomes'}",B,"B: The sentence indicates the phased approach made evaluation difficult, and something negative became apparent after months (“drawbacks” fits this pattern). “Assess” means to evaluate or judge, which aligns with the challenge of determining the drug's impact."
82,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The passionate environmental activist, speaking at the climate summit before world leaders, _________ the audience to take immediate action against global warming.",,"{'A': 'discouraged', 'B': 'questioned', 'C': 'urged', 'D': 'dismissed', 'E': 'confused'}",C,"C: A passionate activist speaking about climate action would strongly encourage the audience to act. “Urged” means to strongly advise or encourage, which fits the context of an activist trying to motivate world leaders to take action."
83,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. ASCEND,,"{'A': 'climb', 'B': 'descend', 'C': 'travel', 'D': 'wander', 'E': 'deescalate'}",B,"B: ASCEND means to go up or rise. The opposite action would be to go down or fall, making “descend” the correct antonym. The other options don't represent the opposite directional movement."
84,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. EXPAND,,"{'A': 'grow', 'B': 'stretch', 'C': 'contract', 'D': 'develop', 'E': 'inflate'}",C,"C: EXPAND means to increase in size or grow larger. The opposite would be to become smaller or shrink, making “contract” the best antonym. The other options either mean similar things to expand or are unrelated to size changes."
85,Analogies,TEACHER is to STUDENT as ...,,"{'A': 'WRITER is to BOOK', 'B': 'PILOT is to AIRPLANE', 'C': 'CHEF is to KITCHEN', 'D': 'DOCTOR is to PATIENT', 'E': 'LAWYER is to COURTROOM'}",D,"D: This tests the relationship of “professional to person they serve.” A TEACHER serves or works with a STUDENT, just as a DOCTOR serves or works with a PATIENT. Both show a professional relationship where one person provides expertise or service to another."
86,Analogies,HAPPY is to ECSTATIC as ...,,"{'A': 'ANGRY is to CALM', 'B': 'TIRED is to ENERGETIC', 'C': 'CONFUSED is to CLEAR', 'D': 'BRAVE is to COWARDLY', 'E': 'SAD is to DEPRESSED'}",E,"E: This tests “basic emotion to its intense form.” HAPPY becomes more intense as ECSTATIC, just as SAD becomes more intense as DEPRESSED. Both show an emotion escalating to a stronger version of the same feeling."
87,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Despite the ambassador's _________ efforts to maintain diplomatic relations, the negotiations ultimately proved _________, leaving both nations more estranged than before.",,"{'A': 'halfhearted ... successful', 'B': 'tireless ... futile', 'C': 'sporadic ... beneficial', 'D': 'dubious ... effective', 'E': 'perfunctory ... promising'}",B,"B: The sentence structure shows contrast (“Despite...ultimately”), indicating that even though the ambassador worked very hard, the outcome was negative. “Tireless” means unwearying or persistent, while “futile” means pointless or unsuccessful. The phrase “leaving both nations more estranged” confirms the negotiations failed despite strong efforts."
88,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The scholar's _________ interpretation of the ancient text was initially dismissed by colleagues, but her _________ approach eventually revealed previously hidden meanings that revolutionized the field.",,"{'A': 'orthodox ... conventional', 'B': 'pedantic ... superficial', 'C': 'iconoclastic ... meticulous', 'D': 'superficial ... hasty', 'E': 'traditional ... careless'}",C,"C: The sentence shows a progression from initial rejection to eventual acceptance and success. “Iconoclastic” means challenging established beliefs or traditions, which explains why colleagues initially dismissed the interpretation. “Meticulous” means extremely careful and precise, which explains how this approach eventually “revealed previously hidden meanings” and “revolutionized the field.” The contrast between initial dismissal and ultimate success supports this choice."
89,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['XTL-900', 'XLT-900'], ['PQR-55A', 'PQR-55A'], ['JMB-012', 'JMB-012'], ['GHY-44C', 'GHY-44O'], ['WZA-13X', 'WZA-13Y']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",B,"B: “XTL-900” and “XLT-900” are different. “GHY-44C” and “GHY-44O” are different. “WZA-13X” and “WZA-13Y” are also different. Therefore, 2 items are exactly the same."
90,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['14 Elm St.', '14 Elms St.'], ['205 Oak Ave', '205 Oak Av.'], ['7 Pine Road', '7 Pine Rd.'], ['312 Maple Dr.', '312 Maple Dr.'], ['5 Aspen Ct', '5 Aspen Court']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",A,"A: “14 Elm St.” and “14 Elms St.” are different. “205 Oak Ave” and “205 Oak Av.” are different. “7 Pine Road” and “7 Pine Rd.” are different. “5 Aspen Ct” and “5 Aspen Court” are also different. Therefore, 1 item is exactly the same."
91,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Project Alpha-7', 'Project Alpha-7'], ['Phase II Report', 'Phase II Report'], ['Budget FY24', 'Budget FY24'], ['Q3 Sales Data', 'Q3 Sales Data'], ['Revision 3.1', 'Revision 3.1']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",E,"E: All five items are exactly the same. Therefore, 5 items are exactly the same."
92,Basic Arithmetic Word Problems,A hotdog sells for $1.20. How much will it cost to buy five hotdogs?,,"{'A': '$6.25', 'B': '$6.50', 'C': '$5.80', 'D': '$5.20', 'E': '$6.00'}",E,"E: To find the total cost of five hotdogs we can use some quick mental math: $1 × 5 hotdogs = $5.00 $0.20 × 5 = $1.00 $5.00 + $1.00 = $6.00 Therefore, the correct answer is option E."
93,Number Comparison,Which of the following is the largest value?,,"{'A': '0.35', 'B': '0.405', 'C': '0.551', 'D': '0.128', 'E': '0.56'}",E,"E: To determine the largest value, compare the digits starting from the tenths place: 0. 3 5 0. 4 05 0. 5 51 0. 1 28 0. 5 6 0.551 and 0.56 both have a 5 in the tenths place. We can look at the next number (hundredths place) to see which is larger: 0.5 5 1 0.5 6 We can see that 0.56 is larger. Therefore, the correct answer is option E."
94,Basic Arithmetic Word Problems,"A shoe store sells 468 pairs of sneakers in September. In October, the store sells 175 less pairs than in September. How many pairs of sneakers are sold in October?",,"{'A': '293', 'B': '309', 'C': '363', 'D': '609', 'E': '643'}",A,"A: The store sells 468 sneakers in September, and October’s sales are 175 less than this. We can subtract 468 and 175 to find the number of shoes sold in October. We can use rounded numbers to easily solve without a calculator. Instead of subtracting 175, let’s subtract 200 and then add 25: 468 – 200 = 268 268 + 25 = 293 Therefore, the store sold 293 sneakers in October, and the correct answer is option A."
95,Basic Arithmetic Word Problems,"In a class of sixty students, one quarter of the students are in the school choir. If five more students join the choir, what percentage of the class will then be in the choir?",,"{'A': '20%', 'B': '25%', 'C': '30%', 'D': '33.33%', 'E': '37.5%'}",D,"D: One quarter of sixty students is: 60 × 0.25 is the same as 60 ÷ 4 = 15 So, there are 15 students in choir to begin with. If 5 more students join, we have 20 total students in choir. We can then find the new percentage: 20 choir students ÷ 60 total students = 0.33 0.33 × 100 = 33.33% Therefore, option D is correct."
96,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? Clara is faster than Ethan. Mia is slower than Ethan. Clara is slower than Mia.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The first statement indicates Clara is faster than Ethan (C > E), and the second states Mia is slower than Ethan (M < E), so we have C > E > M. The final statement claims Clara is slower than Mia (C < M), which contradicts the derived order (C > M). Thus, the final statement is false."
97,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All singers in the school chorus are also in the drama club. Marcus is in the school chorus. Marcus is in the drama club.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",A,"A: Statement 1 establishes a relationship: If you are in the chorus, then you are in the drama club. Statement 2 provides a specific fact: Marcus is in the school chorus. Since Marcus is in the chorus (Statement 2) and all chorus members are also in the drama club (Statement 1), it logically follows that Marcus must be in the drama club. Therefore, the final statement is True."
98,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All books published last year were eligible for a special award. Noah’s book was not eligible for the special award. Noah’s book was published last year.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The first statement states all books published last year were eligible for a special award. The second statement indicates Noah’s book was not eligible. If Noah’s book was published last year (final statement), it would have to be eligible per the first statement, but this contradicts the second statement. Therefore, Noah’s book cannot have been published last year, making the final statement false."
99,Basic Arithmetic Word Problems,15 is 25% of what number?,,"{'A': '50', 'B': '55', 'C': '60', 'D': '65', 'E': '70'}",C,"C: If 15 is 25% of a number, we can set up an equation and solve: 0.25x = 15 x = 60 Therefore, the number is 60, and the correct answer is option C."
100,Number Series,What would be the next number in the following series? 3 … 7 … 15 … 31 … 63 …,,"{'A': '95', 'B': '111', 'C': '127', 'D': '135', 'E': '143'}",C,"C: To identify the pattern, notice that each number is double the previous number plus 1 3 × 2 = 6 + 1 = 7 7 × 2 = 14 + 1 = 15 15 × 2 = 30 + 1 = 31 31 × 2 = 62 + 1 = 63 63 × 2 = 126 + 1 = 127 Therefore, the next number is 127, which is option C."
101,Basic Arithmetic Word Problems,"A warehouse scanner processes an average of 45 packages every hour. If the scanner is only used while the warehouse is open, and the warehouse operates 60 hours each week, how many packages will be processed over the course of 6 weeks?",,"{'A': '15,750', 'B': '15,800', 'C': '16,000', 'D': '16,200', 'E': '16,460'}",D,"D: The scanner processes 45 packages per hour. In one week, the scanner runs for 60 hours, so it processes: 45 × 60 = 2,700 packages per week Over 6 weeks, it processes: 2700 × 6 = 16,200 packages Therefore, the correct total is 16,200 packages, which aligns with option D."
102,Basic Arithmetic Word Problems,"A technician can complete a machine repair in 2.8 hours. His less experienced assistant takes 4 hours for the same repair. If both work simultaneously and each work 56 hours in one week, how many total repairs will they complete?",,"{'A': '32', 'B': '34', 'C': '36', 'D': '38', 'E': '40'}",B,"B: The technician can complete 56 ÷ 2.8 = 20 repairs in 56 hours. The assistant can complete 56 ÷ 4 = 14 repairs in the same time. Adding these together gives 20 + 14 = 34 total repairs. Therefore, the correct answer is option B."
103,Basic Arithmetic Word Problems,"A group of four numbers has an average (arithmetic mean) of 24. The first three numbers are 18, 30, and 12. What is the fourth number?",,"{'A': '24', 'B': '28', 'C': '32', 'D': '34', 'E': '36'}",E,"E: To find the fourth number, begin by multiplying the average by the number of values. Since the average is 24 and there are four numbers, the total sum must be: 24 × 4 = 96 Next, add the first three numbers: 18 + 30 + 12 = 60 Subtract this sum from the required total: 96 − 60 = 36 The fourth number must be 36, which is option E."
104,Basic Arithmetic Word Problems,An investor buys shares in a company for $10 per share. The shares increase by 30% in the first year and 20% in the second year. What is the price of the stock after two years?,,"{'A': '$14.00/share', 'B': '$14.50/share', 'C': '$15.00/share', 'D': '$15.20/share', 'E': '$15.60/share'}",E,"E: Start with $10 (year 1). After the first year, the stock increases by 30%: $10 × .30 = $3.00 $10 + $3.00 = $13.00 Continue with $13.00 (year 2). After the second year, the stock increased by 20%: $13.00 × .20 = $2.60 $13.00 + $2.60 = $15.60 Therefore, the correct answer is option E."
105,Basic Arithmetic Word Problems,A survey states that there is a 20% chance of a baby throwing up on any given day. What is the probability that a baby will not throw up on either the 23 rd or 24 th of April?,,"{'A': '50%', 'B': '56%', 'C': '60%', 'D': '64%', 'E': '70%'}",D,"D: The probability of no throw up on a single day is the complement of 20%, which is 80%. For two independent days, multiply 80% by 80%: 0.8 × 0.8 = 0.64 0.64 × 100 = 64% Therefore, the correct answer is option D."
106,Basic Arithmetic Word Problems,"A theater can sell all 900 seats at a ticket price of $12 each. If the price is raised to $20, it expects to sell 80% of the seats. By what percentage will the theater increase its revenue if it raises the ticket price?",,"{'A': '12%', 'B': '18%', 'C': '23.33%', 'D': '27.5%', 'E': '33.33%'}",E,"E: At $12 per ticket, the hall sells 900 seats for a revenue of: 900 × $12 = $10,800 At $20 per ticket, the hall sells 80% of 900: 900 × .80 = 720 720 × $20 = $14,400 We can use the percent change formula to solve: ((New – Old) ÷ Old) × 100 (($14,400 - $10,800) ÷ $10,800) × 100 0.3333 × 100 33.33% The percentage increase is 33.33%."
107,Basic Arithmetic Word Problems,A charity walk starts with 18 participants from Team A and 12 participants from Team B. Three participants from Team A and two participants from Team B do not finish the walk. What percentage of the participants who finish the walk are from Team A?,,"{'A': '50%', 'B': '60%', 'C': '63%', 'D': '66%', 'E': '75%'}",B,"B: Team A starts with 18 participants and loses 3, so 15 participants from Team A finish. Team B starts with 12 and loses 2, so 10 participants from Team B finish. The total number of finishers is 15 + 10 = 25. The fraction of finishers from Team A is 15 out of 25, which is 15/25 = 0.60, and converting to a percentage gives 60%. Therefore, option B is correct."
108,Basic Arithmetic Word Problems,"What is the average (arithmetic mean) of the following numbers: 3, 7, 14, 20, and 36?",,"{'A': '12.0', 'B': '14.0', 'C': '15.0', 'D': '16.0', 'E': '18.0'}",D,"D: To find the average, add the five numbers to get the total sum 3 + 7 + 14 + 20 + 36 = 80. Divide this sum by the number of values, which is 5, so 80 ÷ 5 = 16. The arithmetic mean is 16.0, making option D correct."
109,Basic Arithmetic Word Problems,"A gallery sells prints in four different sizes, offers eleven different designs, and frames each print in three frame styles. How many distinct combinations of size, design, and frame are possible?",,"{'A': '108', 'B': '120', 'C': '132', 'D': '144', 'E': '156'}",C,"C: Each finished product is chosen by picking one size, one design, and one frame. The total number of possible combinations is the product of the counts in each category, which is 4 × 11 × 3 = 132. Therefore, option C is correct."
110,Basic Arithmetic Word Problems,"If a bag contains 30 marbles and you have a \frac{1}{6} chance of drawing a green marble, how many green marbles are in the bag?",,"{'A': '3', 'B': '4', 'C': '5', 'D': '6', 'E': '10'}",C,"C: A probability of \frac{1}{6} means one out of every six marbles is green. Multiply the total number of marbles by the fraction \frac{1}{6} to find the count: 30 × \frac{1}{6} = 5 Therefore, there are 5 green marbles in the bag and option C is correct."
111,Logic Statements,"Sofia, Daniel, and Chloe each have a favorite book genre: one prefers mystery, one prefers sci-fi, and one prefers fantasy. Each chose their favorite genre in a different year: 2017, 2019, or 2021. Sofia prefers fantasy. Daniel chose his favorite genre in 2019. The person who prefers mystery chose their favorite genre first. Which of the following is true?",,"{'A': 'Daniel chose mystery in 2019.', 'B': 'Sofia chose fantasy in 2017.', 'C': 'Chloe chose sci-fi in 2021.', 'D': 'Daniel chose fantasy in 2021.', 'E': 'Chloe chose mystery in 2017.'}",E,"E: Sofia prefers fantasy (Clue 1), and Daniel chose his favorite genre (mystery or sci-fi) in 2019 (Clue 2). The person who prefers mystery chose their genre first (Clue 3), so mystery was chosen in 2017, the earliest year. Since Daniel’s genre was chosen in 2019, Daniel cannot prefer mystery, so Chloe must prefer mystery and chose it in 2017. This leaves Daniel with sci-fi in 2019 and Sofia with fantasy in 2021. Thus, Chloe chose mystery in 2017 (Option E) is true."
112,Letter Series,What would be the next group of letters in the following series? zamt … ycns … xeor … wgpq …,,"{'A': 'tihp', 'B': 'vipq', 'C': 'uhqp', 'D': 'vjqp', 'E': 'viqp'}",E,"E: E is the correct answer. Look at each position in the 4-letter groups separately. 1st letters: z - y - x - w: (letters decrease by 1) = v 2nd letters: a - c - e - g: (letters increase by 2) = i 3rd letters: m - n - o - p: (letters increase by 1) = q 4th letters: t - s - r - q: (letters decrease by 1) = p That gives us viqp, or option E."
113,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The startup's rapid hiring spree was presented as a sign of confidence, but insiders saw it as a _________ attempt to _________ investors after a disappointing quarter.",,"{'A': 'genuine ... warn', 'B': 'transparent ... comfort', 'C': 'calculated ... reassure', 'D': 'chaotic ... impress', 'E': 'impulsive ... distract'}",C,"C : The phrase ""presented as a sign of confidence, but insiders saw it as..."" suggests a deliberate illusion. ""Calculated"" fits because it implies something done with strategic intent rather than sincerity. The goal is to reassure investors, aligning with the motive to restore confidence. ""Impulsive"" and ""chaotic: contradict the idea of something planned. ""Distract"" doesn't quite fit the emotional goal of calming investors. Thus, ""calculated ... reassure"" best fits both the contrast and motive in the sentence."
114,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Though the scientist claimed her theory was supported by data, the evidence she provided was so _________ that it seemed designed more to _________ than to clarify the issue.",,"{'A': 'dense ... obscure', 'B': 'precise ... illuminate', 'C': 'thorough ... explain', 'D': 'scattered ... simplify', 'E': 'vivid ... distort'}",A,"A : The sentence implies that while the scientist claimed clarity, her presentation had the opposite effect. ""Dense"" (complex or difficult to follow) and ""obscure"" (make unclear) both reinforce the idea that her evidence confused rather than clarified. ""Precise ... illuminate"" describes genuine clarity, not pretense. ""Scattered ... simplify"" and ""vivid ... distort"" mismatch in tone and intent. Therefore, ""dense ... obscure"" best captures the intended irony of intellectual confusion disguised as rigor."
